symbol,company,isin,exchange,sector
UTIMVUP98,UTI - MAST VAL UNIT PL,DUMMY0000015,NSE,Unknown
BANKBENAV,BANK BEES NAV,DUMMY0000018,NSE,Unknown
CPSEETFNAV,CPSE ETF NAV,DUMMY0000019,NSE,Unknown
GOLDBENAV,GOLD BEES NAV,DUMMY0000020,NSE,Unknown
HNGSNBENAV,HANGSENG BEES NAV,DUMMY0000021,NSE,Unknown
INFRABENAV,INFRA BEES NAV,DUMMY0000022,NSE,Unknown
JUNORBENAV,JUNIOR BEES NAV,DUMMY0000023,NSE,Unknown
NIFTYBENAV,NIFTY BEES NAV,DUMMY0000024,NSE,Unknown
PSUBKBENAV,PSU BANK BEES NAV,DUMMY0000025,NSE,Unknown
REL100NAV,RELCAPAMC - RELCNX100,DUMMY0000026,NSE,Unknown
RELBANKNAV,R SHARES BANKING ETF,DUMMY0000027,NSE,Unknown
RELCONSNAV,RELCAPAMC - RELCONS,DUMMY0000028,NSE,Unknown
RELDIVNAV,RELCAPAMC - RELDIVOPP,DUMMY0000029,NSE,Unknown
RELGOLDNAV,R SHARES GOLD ETF,DUMMY0000030,NSE,Unknown
RELNV20NAV,RELCAPAMC - RELNV20,DUMMY0000031,NSE,Unknown
RENIFTYNAV,RELCAPAMC - RELNIFTY,DUMMY0000032,NSE,Unknown
SHARIBENAV,SHARIAH BEES NAV,DUMMY0000033,NSE,Unknown
AXISGOINAV,AXISGOLD NAV,DUMMY0000034,NSE,Unknown
BSLGOLINAV,BSLGOLDETF NAV,DUMMY0000035,NSE,Unknown
GOLDBEINAV,GOLDBEES NAV,DUMMY0000036,NSE,Unknown
GOLDSHINAV,GOLDSHARE NAV,DUMMY0000037,NSE,Unknown
HDFCMFINAV,HDFCMFGETF NAV,DUMMY0000038,NSE,Unknown
ICICIGINAV,ICICIGOLD NAV,DUMMY0000039,NSE,Unknown
ICICISINAV,ICICISILVE NAV,DUMMY0000040,NSE,Unknown
IDBIGOINAV,IDBIGOLD NAV,DUMMY0000041,NSE,Unknown
IVZINGINAV,IVZINGOLD NAV,DUMMY0000042,NSE,Unknown
KOTAKGINAV,KOTAKGOLD NAV,DUMMY0000043,NSE,Unknown
NETFSIINAV,NETFSILVER NAV,DUMMY0000044,NSE,Unknown
QGOLDHINAV,QGOLDHALF NAV,DUMMY0000045,NSE,Unknown
SETFGOINAV,SETFGOLD NAV,DUMMY0000046,NSE,Unknown
SILVERINAV,SILVER NAV,DUMMY0000047,NSE,Unknown
HEALTHINAV,HEALTHY INAV,DUMMY0000048,NSE,Unknown
ABSLBAINAV,ABSLBANETF INAV,DUMMY0000049,NSE,Unknown
TECHINAV,TECH INAV,DUMMY0000050,NSE,Unknown
BSLSENINAV,BSLSENETFG INAV,DUMMY0000051,NSE,Unknown
BSLNIFINAV,BSLNIFTY INAV,DUMMY0000052,NSE,Unknown
ABSLNNINAV,ABSLNN50ET INAV,DUMMY0000053,NSE,Unknown
AXISHCINAV,AXISHCETF INAV,DUMMY0000054,NSE,Unknown
AXISBPINAV,AXISBPSETF INAV,DUMMY0000055,NSE,Unknown
AXISBNINAV,AXISBNKETF INAV,DUMMY0000056,NSE,Unknown
AXISCEINAV,AXISCETF INAV,DUMMY0000057,NSE,Unknown
AXISNIINAV,AXISNIFTY INAV,DUMMY0000058,NSE,Unknown
AXISTEINAV,AXISTECETF INAV,DUMMY0000059,NSE,Unknown
DSPNEWINAV,DSPNEWETF INAV,DUMMY0000060,NSE,Unknown
DSPN50INAV,DSPN50ETF INAV,DUMMY0000061,NSE,Unknown
DSPQ50INAV,DSPQ50ETF INAV,DUMMY0000062,NSE,Unknown
LIQUIEINAV,LIQUIDETF INAV,DUMMY0000063,NSE,Unknown
EBANKINAV,EBANK INAV,DUMMY0000064,NSE,Unknown
EBBE23INAV,EBBETF0423 INAV,DUMMY0000065,NSE,Unknown
